"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
71,"mu_lambda","lambda",0.0512,0.0253656066166122,0.025331149,0.0107791966,0.04009085675,-0.0258343933833878,0.0258343933833878,FALSE,1.00001538359882,8511.89486569116,5285.21004620653
71,"mu_delta","delta",1.171,1.19830120432583,1.19217435,1.06596299,1.352077895,0.0273012043258334,0.0273012043258334,TRUE,1.00243718308449,3255.35554569337,5297.22214207188
71,"mu_eta","eta",-0.744,-0.834996146060833,-0.83433801,-0.9293665075,-0.7450708175,-0.0909961460608334,0.0909961460608334,FALSE,1.00141341006807,4252.39897268673,6290.11175867746
72,"mu_alpha","alpha",3.697,3.68527491149167,3.67569485,3.407663655,3.988863815,-0.0117250885083333,0.0117250885083333,TRUE,1.00028161379985,6353.28942225955,7810.52310653302
72,"mu_beta","beta",0.518,0.58620759108,0.585786785,0.484985588,0.6881730235,0.06820759108,0.06820759108,TRUE,1.00071883319926,3030.58171995902,5286.36264547093
72,"mu_lambda","lambda",0.0512,0.039984744205775,0.0401507035,0.0259519822,0.05387569985,-0.011215255794225,0.011215255794225,TRUE,1.00041384170248,7069.10412120667,6265.23984668851
72,"mu_delta","delta",1.171,1.12551048316083,1.11660045,1.012459905,1.265266635,-0.0454895168391667,0.0454895168391667,TRUE,1.00414674025576,2179.81243468297,3861.62353922071
72,"mu_eta","eta",-0.744,-0.6835886729175,-0.68192743,-0.77260376,-0.600027034,0.0604113270825,0.0604113270825,TRUE,1.00134098146344,2885.97685031554,5051.75744116906
73,"mu_alpha","alpha",1.628,1.49877365518583,1.49491725,1.292547135,1.71712544,-0.129226344814167,0.129226344814167,TRUE,1.00039178876622,5319.66695296298,7452.05414065647
73,"mu_beta","beta",0.185,0.242688715953167,0.242159325,0.175511353,0.311338349,0.0576887159531667,0.0576887159531667,TRUE,1.00045174114558,4623.97356269696,6649.25494420379
73,"mu_lambda","lambda",0.0808,0.0799894134008333,0.0799970035,0.0581516782,0.101438724,-0.000810586599166663,0.000810586599166663,TRUE,1.00041219652328,11783.0734945037,8281.83759712036
73,"mu_delta","delta",1.171,1.1711963234875,1.16655875,1.021169955,1.33436278,0.000196323487499983,0.000196323487499983,TRUE,1.00181014891923,3793.94562086098,5956.21959296446
73,"mu_eta","eta",-0.744,-0.645768492999167,-0.646386365,-0.761700626,-0.5284232325,0.0982315070008333,0.0982315070008333,TRUE,1.00125054864357,2505.5850983493,4502.07461443415
74,"mu_alpha","alpha",2.602,2.78006638130833,2.77828635,2.424388195,3.148762925,0.178066381308334,0.178066381308334,TRUE,1.00041771911166,3234.01820314286,5430.46882157233
74,"mu_beta","beta",0.185,0.20163928836675,0.201803335,0.1110701915,0.294457876,0.01663928836675,0.01663928836675,TRUE,1.00251981593049,2380.79276475904,4549.73145264806
74,"mu_lambda","lambda",0.0808,0.0723704568599167,0.0723470035,0.05011381975,0.09435186695,-0.00842954314008333,0.00842954314008333,TRUE,1.00077707143047,5794.17080350152,6354.05907673101
74,"mu_delta","delta",1.171,1.13769541571167,1.1340874,1.01830921,1.27113726,-0.0333045842883333,0.0333045842883333,TRUE,1.00058919286015,2484.18699557646,4019.13207546524
74,"mu_eta","eta",-0.744,-0.8818292996975,-0.879867595,-0.975901463,-0.7925760945,-0.1378292996975,0.1378292996975,FALSE,1.00039570699543,4113.92439427192,6501.89496464132
75,"mu_alpha","alpha",3.697,3.75955211523333,3.7557707,3.42915548,4.11426228,0.0625521152333333,0.0625521152333333,TRUE,1.00068901494124,6526.24170616389,7485.50078992916
75,"mu_beta","beta",0.185,0.21921982757125,0.218684045,0.139474251,0.3014807785,0.03421982757125,0.03421982757125,TRUE,1.00023462428484,5450.49064614371,7957.05885493151
75,"mu_lambda","lambda",0.0808,0.0957980854446667,0.095701479,0.0759075983,0.115964142,0.0149980854446667,0.0149980854446667,TRUE,1.00006612988594,7524.61107746307,7558.16115982699
75,"mu_delta","delta",1.171,1.132087707385,1.1268099,0.997611718,1.2859066,-0.0389122926150001,0.0389122926150001,TRUE,1.00032467612208,3540.7423963942,6023.74118503525
75,"mu_eta","eta",-0.744,-0.725768101811667,-0.72569722,-0.802689253,-0.649319529,0.0182318981883334,0.0182318981883334,TRUE,1.00059936323392,5422.99304812373,7170.97912093331
76,"mu_alpha","alpha",1.628,1.62939898667833,1.6213579,1.32061871,1.959227325,0.00139898667833349,0.00139898667833349,TRUE,1.00252701541392,4172.33176762658,6802.57616151909
76,"mu_beta","beta",0.352,0.29408780007,0.293544665,0.218045539,0.3731652895,-0.05791219993,0.05791219993,TRUE,1.00007552073616,5081.1012460153,7749.60768492985
76,"mu_lambda","lambda",0.0808,0.121748089228,0.121503385,0.09583714245,0.1477683635,0.040948089228,0.040948089228,FALSE,0.999910083900916,10980.2303153871,8800.80101396062
76,"mu_delta","delta",1.171,1.17106536701083,1.16892705,1.071523745,1.27714892,6.53670108332616e-05,6.53670108332616e-05,TRUE,1.00069406147384,6763.2119151233,8576.20307937097
76,"mu_eta","eta",-0.744,-0.841383045083333,-0.84133946,-0.933780724,-0.7495035425,-0.0973830450833333,0.0973830450833333,FALSE,1.00040004499656,8604.66360873962,8503.97203962275
77,"mu_alpha","alpha",2.602,2.502356320575,2.49594535,2.154117555,2.88563536,-0.0996436794249997,0.0996436794249997,TRUE,1.0008493940994,4582.78461358991,6452.92302419776
77,"mu_beta","beta",0.352,0.3511372171625,0.350390805,0.267552756,0.4392220185,-0.000862782837499965,0.000862782837499965,TRUE,1.00090031640159,4696.06118010566,7126.23446223214
77,"mu_lambda","lambda",0.0808,0.0776779206995833,0.0774939275,0.05341581535,0.1023686625,-0.00312207930041666,0.00312207930041666,TRUE,1.00028024868681,8255.93023292272,8621.28008526061
77,"mu_delta","delta",1.171,1.1393232364025,1.1348831,1.031372595,1.26073105,-0.0316767635974999,0.0316767635974999,TRUE,1.0004837894474,3650.94397721093,6658.94592062704
77,"mu_eta","eta",-0.744,-0.916173915366667,-0.91536695,-1.024843835,-0.8106761325,-0.172173915366667,0.172173915366667,FALSE,1.00148945598501,5070.10449060978,6931.80073803438
78,"mu_alpha","alpha",3.697,3.613793742075,3.6050497,3.305755145,3.94887842,-0.0832062579250001,0.0832062579250001,TRUE,0.999991509955941,6167.15719038573,6655.89156096932
78,"mu_beta","beta",0.352,0.410190149293667,0.408453555,0.298710379,0.5233369115,0.0581901492936667,0.0581901492936667,TRUE,1.00233531205551,2218.70276619882,3998.84431042578
78,"mu_lambda","lambda",0.0808,0.08344707205925,0.0831093915,0.0621923257,0.106034545,0.00264707205925001,0.00264707205925001,TRUE,1.00139454090609,4067.54934755421,6392.03374805078
78,"mu_delta","delta",1.171,1.20445639224417,1.2003187,1.07263406,1.354655175,0.0334563922441666,0.0334563922441666,TRUE,1.00094223723175,3334.13254042928,4907.86680356383
78,"mu_eta","eta",-0.744,-0.688183825025,-0.686998225,-0.8126773915,-0.5694925555,0.055816174975,0.055816174975,TRUE,1.00506974783284,2393.33037263882,4005.53205078241
79,"mu_alpha","alpha",1.628,1.667331614475,1.6654528,1.47747661,1.863322455,0.039331614475,0.039331614475,TRUE,1.00007438367796,8480.0489037403,9496.42696321084
79,"mu_beta","beta",0.518,0.472321421476667,0.471902955,0.394106295,0.5515850035,-0.0456785785233333,0.0456785785233333,TRUE,1.0004173252947,5477.23465422948,7396.09331364145
79,"mu_lambda","lambda",0.0808,0.0657045834805,0.0656840595,0.04251343525,0.08924920385,-0.0150954165195,0.0150954165195,TRUE,1.00027612393948,8422.0650610507,7788.68015670832
79,"mu_delta","delta",1.171,1.18078873574583,1.1756898,1.06082635,1.316830175,0.00978873574583328,0.00978873574583328,TRUE,1.00078689839245,5553.20429298809,7252.29158500551
79,"mu_eta","eta",-0.744,-0.829553156871667,-0.82999319,-0.929031716,-0.7304605695,-0.0855531568716666,0.0855531568716666,TRUE,1.0004616922724,5991.15460511996,7726.01507827907
80,"mu_alpha","alpha",2.602,2.53105042166667,2.52495995,2.13459235,2.954628705,-0.0709495783333334,0.0709495783333334,TRUE,1.00106966547113,3044.08398108551,4894.95502742975
80,"mu_beta","beta",0.518,0.499706639653333,0.49898811,0.4113240095,0.5907590415,-0.0182933603466667,0.0182933603466667,TRUE,1.00165411262639,3756.40238916303,6894.18307217083
80,"mu_lambda","lambda",0.0808,0.0833356444734167,0.083357573,0.05893996025,0.108229,0.00253564447341667,0.00253564447341667,TRUE,1.00040596309956,5506.04202716838,6447.57410523983
80,"mu_delta","delta",1.171,1.10354071890333,1.09968145,0.9646112675,1.25659616,-0.0674592810966668,0.0674592810966668,TRUE,1.0004427853591,3064.56981796748,4711.08011191536
80,"mu_eta","eta",-0.744,-0.699543886925833,-0.698767565,-0.80607389,-0.59312678,0.0444561130741666,0.0444561130741666,TRUE,1.00090695917523,3293.46216153203,5869.89307613168
81,"mu_alpha","alpha",3.697,3.7318397383,3.72491155,3.406739395,4.0788147,0.0348397383000001,0.0348397383000001,TRUE,0.999965186706424,7138.16606915736,8043.23213008888
81,"mu_beta","beta",0.518,0.511614992708333,0.510376415,0.425014447,0.600759376,-0.00638500729166669,0.00638500729166669,TRUE,1.0002856589191,5020.0650458922,5945.28993096627
81,"mu_lambda","lambda",0.0808,0.0763452333823333,0.076320642,0.0592619748,0.09375501425,-0.00445476661766667,0.00445476661766667,TRUE,0.999989306984542,6984.03408183341,7438.31123351881
81,"mu_delta","delta",1.171,1.19179143929,1.1869989,1.08938908,1.312084655,0.0207914392899999,0.0207914392899999,TRUE,1.00092491332428,4172.08309795483,5734.87538571562
81,"mu_eta","eta",-0.744,-0.772857336038333,-0.771801575,-0.8621265725,-0.686568281,-0.0288573360383333,0.0288573360383333,TRUE,1.00112637580206,4278.93878525921,7035.44442497476
82,"mu_alpha","alpha",1.628,1.55251848235833,1.5495497,1.38183452,1.734597425,-0.0754815176416666,0.0754815176416666,TRUE,1.00056778809197,5952.31591567672,7422.28063465906
82,"mu_beta","beta",0.185,0.185622246887967,0.184513055,0.108145388,0.265742518,0.000622246887966665,0.000622246887966665,TRUE,1.00025423043253,3332.30842031733,5857.54012491891
82,"mu_lambda","lambda",0.0239,0.0387209549485642,0.0388546325,0.019404438,0.05797071325,0.0148209549485642,0.0148209549485642,TRUE,0.999964077787941,10399.0327668765,5928.22367264689
82,"mu_delta","delta",0.703,0.614443685016667,0.617038575,0.49123824,0.726734081,-0.0885563149833333,0.0885563149833333,TRUE,1.00047779567611,7677.26636233284,7407.48255831264
82,"mu_eta","eta",-0.477,-0.47853622759,-0.47740496,-0.5838784795,-0.375185691,-0.00153622758999999,0.00153622758999999,TRUE,1.00099547432489,5677.57629798244,7124.21919091166
83,"mu_alpha","alpha",2.602,2.8409757625,2.83656455,2.51969929,3.181797615,0.2389757625,0.2389757625,TRUE,1.00081406081617,5611.40323852222,7878.14237520354
83,"mu_beta","beta",0.185,0.256884281027917,0.256508835,0.1532920205,0.361671661,0.0718842810279167,0.0718842810279167,TRUE,1.00140327616855,3680.44027858259,5965.85923390059
83,"mu_lambda","lambda",0.0239,0.0249556510237233,0.0250467865,0.0096409153,0.03981943635,0.00105565102372333,0.00105565102372333,TRUE,1.00054174762963,10290.570265906,6764.9700720221
83,"mu_delta","delta",0.703,0.782460065139167,0.78743807,0.639093154,0.907681213,0.0794600651391667,0.0794600651391667,TRUE,1.00097608615217,3751.77794547495,6585.43665023292
83,"mu_eta","eta",-0.477,-0.3752202852475,-0.375942505,-0.4560134095,-0.2960447845,0.1017797147525,0.1017797147525,FALSE,1.00016890207055,6289.56648649678,7883.40889971861
84,"mu_alpha","alpha",3.697,3.68685042139167,3.67910425,3.3618202,4.037566385,-0.0101495786083334,0.0101495786083334,TRUE,1.0002350042346,7845.35473569503,8427.88586742791
84,"mu_beta","beta",0.185,0.131685178911922,0.13131699,0.05869317535,0.206152707,-0.0533148210880783,0.0533148210880783,TRUE,1.00067291337932,6817.0292298172,8243.82734766553
84,"mu_lambda","lambda",0.0239,0.0362825735847383,0.036562302,0.0210578194,0.05076782445,0.0123825735847383,0.0123825735847383,TRUE,0.999909149046574,9961.38657778972,7334.13364031224
84,"mu_delta","delta",0.703,0.589669050315833,0.59411974,0.4536660545,0.7130428025,-0.113330949684167,0.113330949684167,TRUE,1.00055910007212,8740.25393852544,7793.7953126399
84,"mu_eta","eta",-0.477,-0.4954061784825,-0.49539008,-0.5825854715,-0.4089087545,-0.0184061784825,0.0184061784825,TRUE,1.00080365366656,5533.52455032945,7772.04266734075
85,"mu_alpha","alpha",1.628,1.90099869125833,1.89705385,1.656001195,2.15675131,0.272998691258334,0.272998691258334,FALSE,1.00005333518199,5442.44222035386,8066.84948773943
85,"mu_beta","beta",0.352,0.351136949194167,0.350477515,0.2789650915,0.4253019195,-0.000863050805833321,0.000863050805833321,TRUE,1.00024821626218,5431.69662203923,6611.28743714639
85,"mu_lambda","lambda",0.0239,0.0316323333126833,0.0318173225,0.0136679792,0.04855293095,0.00773233331268334,0.00773233331268334,TRUE,1.00011701239229,10697.6654117092,7724.23316782929
85,"mu_delta","delta",0.703,0.710300186965,0.71460067,0.5627764705,0.841753985,0.00730018696500001,0.00730018696500001,TRUE,1.0001088470064,6023.73432107595,6697.76649238754
85,"mu_eta","eta",-0.477,-0.520223408728333,-0.52060421,-0.607628871,-0.4311484635,-0.0432234087283333,0.0432234087283333,TRUE,1.00008328966912,5555.61972889868,7105.82271707053
86,"mu_alpha","alpha",2.602,2.66840738624167,2.66621165,2.378473855,2.974250775,0.066407386241667,0.066407386241667,TRUE,1.00037587473458,6021.42192014231,7828.14454269986
86,"mu_beta","beta",0.352,0.469436087526667,0.46836993,0.374993649,0.5666135575,0.117436087526667,0.117436087526667,FALSE,1.00115535082613,4043.41700241362,6197.06595245799
86,"mu_lambda","lambda",0.0239,0.0246288742111025,0.024615641,0.01037201745,0.03912384345,0.000728874211102497,0.000728874211102497,TRUE,1.0000876497961,8713.05024711051,4873.70244749538
86,"mu_delta","delta",0.703,0.737175777664167,0.7382579,0.645687759,0.8235716895,0.0341757776641667,0.0341757776641667,TRUE,1.00069611714288,6989.9553295322,6503.33447889057
86,"mu_eta","eta",-0.477,-0.390438714041667,-0.39022753,-0.486570079,-0.293691364,0.0865612859583333,0.0865612859583333,TRUE,1.00062183351811,3338.46894155089,5467.9027801366
87,"mu_alpha","alpha",3.697,3.90065003066667,3.8914696,3.497759995,4.334484485,0.203650030666667,0.203650030666667,TRUE,1.00050659684236,4247.80306106686,5797.06868990664
87,"mu_beta","beta",0.352,0.27821281434375,0.278677265,0.19435619,0.3621970275,-0.07378718565625,0.07378718565625,TRUE,0.999968147599849,3766.6331171829,5245.75215604615
87,"mu_lambda","lambda",0.0239,0.0292881999173167,0.0295504555,0.0171209877,0.04052231815,0.00538819991731667,0.00538819991731667,TRUE,1.0002227778975,6408.59667565733,3549.83801621952
87,"mu_delta","delta",0.703,0.712424634199167,0.71404417,0.6154196855,0.8038424405,0.00942463419916673,0.00942463419916673,TRUE,1.00068266958898,4635.91712072406,5349.36907064606
87,"mu_eta","eta",-0.477,-0.517186925744167,-0.51643362,-0.61290199,-0.4249714645,-0.0401869257441667,0.0401869257441667,TRUE,1.00034504527346,2917.07772930596,5168.94838773758
88,"mu_alpha","alpha",1.628,1.78087030739167,1.77835715,1.492175845,2.08123914,0.152870307391667,0.152870307391667,TRUE,1.00072494324315,3236.44022698829,4859.80303965247
