"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
149,"mu_alpha","alpha",3.66,3.82427537039167,3.8112829,3.398992715,4.28327655,0.164275370391667,0.164275370391667,TRUE,1.00058917115011,5805.1219593417,6486.45551843839
149,"mu_beta","beta",0.645,0.6304187391775,0.62907845,0.493761495,0.769017809,-0.0145812608225,0.0145812608225,TRUE,1.00044155739222,3629.4849586594,6565.61153958377
149,"mu_lambda","lambda",0.0704,0.0844773038545833,0.084002542,0.0542153717,0.1162759245,0.0140773038545833,0.0140773038545833,TRUE,1.00063308144907,3485.91900640348,5327.24313793619
149,"mu_delta","delta",1.3,1.32748392071083,1.3152816,1.14431015,1.557538545,0.0274839207108333,0.0274839207108333,TRUE,1.00089338717334,3136.32713787491,5242.90852690608
149,"mu_eta","eta",-0.245,-0.255572996367242,-0.258680535,-0.354735345,-0.1458360555,-0.0105729963672417,0.0105729963672417,TRUE,1.00088036987529,2359.197520853,4630.6336504482
150,"mu_alpha","alpha",4.96,5.21806900841667,5.21725675,4.720096165,5.723158675,0.258069008416666,0.258069008416666,TRUE,1.00096438630956,5328.90914690002,5281.89091272312
150,"mu_beta","beta",0.645,0.569674153989167,0.568939025,0.4916544065,0.6520780985,-0.0753258460108334,0.0753258460108334,TRUE,1.00163313997218,9364.20723678014,8127.57884149666
150,"mu_lambda","lambda",0.0704,0.0908166372195,0.0907608895,0.0675652037,0.1146227215,0.0204166372195,0.0204166372195,TRUE,1.00260634781855,3634.82226517169,4836.30325052368
150,"mu_delta","delta",1.3,1.35507953780083,1.34919975,1.167098995,1.560632015,0.0550795378008333,0.0550795378008333,TRUE,1.10763538719383,24.2551371608491,79.3628455681939
150,"mu_eta","eta",-0.245,-0.2704486499187,-0.26894474,-0.4004887875,-0.14473835,-0.0254486499187,0.0254486499187,TRUE,1.07815656719912,35.3908436184209,482.837030362085
151,"mu_alpha","alpha",2.33,2.24888972611333,2.2434869,1.911350985,2.60043058,-0.0811102738866669,0.0811102738866669,TRUE,1.00170397028617,7880.71880699744,7950.5366100051
151,"mu_beta","beta",0.914,0.8960769723025,0.894478685,0.7639253705,1.037115265,-0.0179230276975,0.0179230276975,TRUE,1.00140750423847,7072.95184742334,6409.55510236781
151,"mu_lambda","lambda",0.0704,0.0723020243474167,0.0721703575,0.04782494595,0.09729198645,0.00190202434741667,0.00190202434741667,TRUE,1.00031242028558,8109.61215926637,7462.90402526668
151,"mu_delta","delta",1.3,1.134621919325,1.1243771,1.00385558,1.303069345,-0.165378080675,0.165378080675,TRUE,1.28829460867327,10.3815284465051,162.343671627071
151,"mu_eta","eta",-0.245,-0.276827172994557,-0.276060675,-0.402304358,-0.153823832,-0.0318271729945567,0.0318271729945567,TRUE,1.05971352458023,46.746055224987,1095.46058799041
152,"mu_alpha","alpha",3.66,3.540509401725,3.53736025,3.265793345,3.826357665,-0.119490598275,0.119490598275,TRUE,1.00047055272138,13054.7045718748,7914.87690123692
152,"mu_beta","beta",0.914,0.879407086953333,0.878250715,0.747068544,1.014494425,-0.0345929130466667,0.0345929130466667,TRUE,1.00098937957332,5628.84082512495,6533.98488619354
152,"mu_lambda","lambda",0.0704,0.07398772819525,0.0739992095,0.0551914749,0.092812607,0.00358772819525,0.00358772819525,TRUE,1.00015479236117,6737.99696207307,7299.64117540765
152,"mu_delta","delta",1.3,1.31880418885083,1.29744485,1.012283525,1.69979289,0.0188041888508332,0.0188041888508332,TRUE,1.00263383516758,1722.45498015261,4316.17734976397
152,"mu_eta","eta",-0.245,-0.187441095605044,-0.18781511,-0.2980918545,-0.0772606910000001,0.0575589043949558,0.0575589043949558,TRUE,1.00025873806361,2302.77249616694,4868.01822992463
153,"mu_alpha","alpha",4.96,5.05536150243333,5.0465933,4.67308397,5.46524118,0.0953615024333336,0.0953615024333336,TRUE,1.00069820469369,8819.90545858878,5107.52621435347
153,"mu_beta","beta",0.914,1.0736604251525,1.07241125,0.8931124115,1.258455505,0.1596604251525,0.1596604251525,TRUE,1.001065933389,4004.30209378232,5718.71236092156
153,"mu_lambda","lambda",0.0704,0.0520689398518333,0.0515071035,0.03118035,0.07508205065,-0.0183310601481667,0.0183310601481667,TRUE,1.00145144262743,4062.97907699465,6086.65044735399
153,"mu_delta","delta",1.3,1.61990363824167,1.6266854,1.309713995,1.9134921,0.319903638241667,0.319903638241667,FALSE,1.13603719747392,19.2566928118578,185.170246887847
153,"mu_eta","eta",-0.245,-0.333302214244167,-0.333471415,-0.4139358055,-0.2508785415,-0.0883022142441667,0.0883022142441667,FALSE,1.14248145614501,18.9196192335029,345.115453415991
154,"mu_alpha","alpha",2.33,1.97028300635833,1.96755885,1.6552087,2.29873457,-0.359716993641667,0.359716993641667,FALSE,1.00026087895035,3584.22585984768,5543.16716342682
154,"mu_beta","beta",0.381,0.432233770266667,0.430915035,0.3236640545,0.5456857745,0.0512337702666666,0.0512337702666666,TRUE,1.00071116281661,3148.03141111779,5658.17528410701
154,"mu_lambda","lambda",0.103,0.0897827108325833,0.08883628,0.0524630442,0.129891862,-0.0132172891674167,0.0132172891674167,TRUE,1.00125645500672,3841.19759802121,5864.29888070913
154,"mu_delta","delta",1.3,1.23004434018,1.2187693,1.082104985,1.41672283,-0.06995565982,0.06995565982,TRUE,1.00256913779518,1158.52661873762,3771.91967488313
154,"mu_eta","eta",-0.245,-0.125228734082537,-0.130283815,-0.301860445,0.0711642556499998,0.119771265917463,0.119771265917463,TRUE,1.00112117465449,2417.75955771179,4168.78909023073
155,"mu_alpha","alpha",3.66,3.63367393880833,3.624499,3.194347505,4.10539192,-0.0263260611916669,0.0263260611916669,TRUE,1.00046258278261,6291.57978640756,7466.45981443382
155,"mu_beta","beta",0.381,0.370585555309431,0.36935305,0.219251527,0.527623211,-0.0104144446905692,0.0104144446905692,TRUE,1.00074518903768,4283.53687585781,6191.70996588969
155,"mu_lambda","lambda",0.103,0.0904353440200833,0.0893231755,0.0566377936,0.126785705,-0.0125646559799167,0.0125646559799167,TRUE,1.00015037202061,5596.21189297096,6278.46384477366
155,"mu_delta","delta",1.3,1.34577959532167,1.336727,1.18101717,1.54041313,0.0457795953216666,0.0457795953216666,TRUE,1.00101034381006,5116.14901662316,5539.76881184104
155,"mu_eta","eta",-0.245,-0.197909194843725,-0.199028035,-0.2803147455,-0.1102152605,0.047090805156275,0.047090805156275,TRUE,1.00048159413097,6226.79594462796,7602.97405799273
156,"mu_alpha","alpha",4.96,5.60761461355833,5.62112955,5.229258455,5.93592414,0.647614613558333,0.647614613558333,FALSE,1.01153001957091,511.391021142736,4452.28349498499
156,"mu_beta","beta",0.381,0.3911984894975,0.39100337,0.2830252385,0.4996080965,0.0101984894975,0.0101984894975,TRUE,1.01091078617952,2176.21393072931,6532.90790931303
156,"mu_lambda","lambda",0.103,0.1086188939215,0.108041635,0.077814078,0.141375334,0.0056188939215,0.0056188939215,TRUE,1.00056093157495,2638.30222981187,4637.96322874421
156,"mu_delta","delta",1.3,1.15505704199833,1.1248454,0.998453613,1.4157022,-0.144942958001667,0.144942958001667,TRUE,1.61801830798173,6.59790417894654,31.0192179967497
156,"mu_eta","eta",-0.245,-0.192001304822811,-0.190453385,-0.3943672945,0.01127009855,0.0529986951771894,0.0529986951771894,TRUE,1.33681428719551,9.59066015199639,80.2107377701636
157,"mu_alpha","alpha",2.33,2.43761078481667,2.4305406,2.02301231,2.884713555,0.107610784816667,0.107610784816667,TRUE,1.00158167232467,4805.98960609466,6305.30771648378
157,"mu_beta","beta",0.645,0.7033156449775,0.70110471,0.5874999985,0.8264666945,0.0583156449775,0.0583156449775,TRUE,1.00006117427678,6367.58610959355,7797.09008801489
157,"mu_lambda","lambda",0.103,0.117221892166167,0.11624348,0.08350019055,0.153444534,0.0142218921661667,0.0142218921661667,TRUE,1.00083120815219,4649.92400529737,6460.91885638323
157,"mu_delta","delta",1.3,1.18688530626,1.17137565,1.07686803,1.337780625,-0.11311469374,0.11311469374,TRUE,1.00069408274899,1646.45858760638,3556.66441723675
157,"mu_eta","eta",-0.245,-0.216843488227498,-0.21940963,-0.367417806,-0.0562987610000001,0.0281565117725017,0.0281565117725017,TRUE,1.00034553057169,3767.20779858735,5673.65943906248
158,"mu_alpha","alpha",3.66,3.571660304675,3.5639473,3.161734695,4.010393235,-0.0883396953250002,0.0883396953250002,TRUE,1.00062861747331,6132.52604004966,6903.44108996072
158,"mu_beta","beta",0.645,0.648163475884167,0.646370815,0.5156504855,0.78460429,0.00316347588416666,0.00316347588416666,TRUE,1.0013055552702,4957.31304643782,6507.57314988575
158,"mu_lambda","lambda",0.103,0.124552623626583,0.123460225,0.090723875,0.1628697465,0.0215526236265833,0.0215526236265833,TRUE,1.0004082200759,4002.99671500189,6281.37497084864
158,"mu_delta","delta",1.3,1.07119445865517,1.08298425,0.651544825,1.441040685,-0.228805541344833,0.228805541344833,TRUE,1.00053873336862,3849.92732266805,5810.39684444859
158,"mu_eta","eta",-0.245,-0.272263365828942,-0.27200356,-0.363832677,-0.1811135725,-0.0272633658289417,0.0272633658289417,TRUE,1.00240250727732,4273.7178080062,6441.57941523493
159,"mu_alpha","alpha",4.96,5.26974915516667,5.2795009,4.74651172,5.767298985,0.309749155166667,0.309749155166667,TRUE,1.00244380806703,6865.40783965331,6917.58343719639
159,"mu_beta","beta",0.645,0.5979253360775,0.596482375,0.483474831,0.718145596,-0.0470746639225,0.0470746639225,TRUE,1.00126995512074,5113.70367593756,6028.83970138831
159,"mu_lambda","lambda",0.103,0.117719539697333,0.11771004,0.0974261196,0.137972068,0.0147195396973333,0.0147195396973333,TRUE,1.00047044790408,5218.47942003159,6151.10145886968
159,"mu_delta","delta",1.3,1.249732235975,1.23152575,1.00421768,1.5579552,-0.050267764025,0.050267764025,TRUE,1.09811846976783,28.867619840131,244.831919723976
159,"mu_eta","eta",-0.245,-0.320912279366742,-0.31923425,-0.455569163,-0.188680691,-0.0759122793667417,0.0759122793667417,TRUE,1.03040565355663,184.822397085,3511.44838881635
160,"mu_alpha","alpha",2.33,2.39158994190833,2.38519075,1.998415575,2.802727835,0.0615899419083332,0.0615899419083332,TRUE,1.00078706492635,5093.90845599959,7080.67073311191
160,"mu_beta","beta",0.914,1.05454895208333,1.05315605,0.9097996,1.202505965,0.140548952083333,0.140548952083333,TRUE,1.00075425515394,5854.72064127436,7014.5749551304
160,"mu_lambda","lambda",0.103,0.0877121104838333,0.0874123145,0.06225060585,0.1145301785,-0.0152878895161667,0.0152878895161667,TRUE,1.00025025248807,6094.48914071628,7300.81941776696
160,"mu_delta","delta",1.3,1.46777585378667,1.44588825,1.187049585,1.81498265,0.167775853786667,0.167775853786667,TRUE,1.00617810136848,4948.85387767297,3055.66520054892
160,"mu_eta","eta",-0.245,-0.218519044513408,-0.21928546,-0.325088075,-0.109956398,0.0264809554865917,0.0264809554865917,TRUE,1.01303524691105,676.869067403018,4020.0261896584
161,"mu_alpha","alpha",3.66,3.52285312595,3.5134711,3.10601975,3.96552167,-0.13714687405,0.13714687405,TRUE,1.011345846486,3940.8080525656,1445.5516275048
161,"mu_beta","beta",0.914,0.90501863996,0.903041105,0.7866396205,1.02947606,-0.00898136004000005,0.00898136004000005,TRUE,1.01387508105311,1852.38391875547,6821.92832918036
161,"mu_lambda","lambda",0.103,0.105352505677,0.104928185,0.07889259695,0.133520789,0.002352505677,0.002352505677,TRUE,1.00065640686815,3981.87841382274,6272.1071354547
161,"mu_delta","delta",1.3,1.33624972830333,1.3329796,1.131935245,1.551707055,0.0362497283033334,0.0362497283033334,TRUE,1.25870834976988,11.2412212653205,60.0639693160929
161,"mu_eta","eta",-0.245,-0.250388286460493,-0.243638805,-0.4069029775,-0.114631166,-0.00538828646049333,0.00538828646049333,TRUE,1.23850848199469,12.5436125782696,60.7819555086517
162,"mu_alpha","alpha",4.96,5.25500081874167,5.2506685,4.828942195,5.68979457,0.295000818741666,0.295000818741666,TRUE,1.0000942875801,6531.72377364805,4025.69647991184
162,"mu_beta","beta",0.914,0.829375238970833,0.827870255,0.682109512,0.979776181,-0.0846247610291667,0.0846247610291667,TRUE,1.00079439086704,4098.43594650505,5813.49827227809
162,"mu_lambda","lambda",0.103,0.106000012572083,0.104779065,0.07504635335,0.1403964955,0.00300001257208334,0.00300001257208334,TRUE,1.0005622256483,2673.10683437652,4700.85513750212
162,"mu_delta","delta",1.3,1.16326560077167,1.1506473,0.982828843,1.39087447,-0.136734399228333,0.136734399228333,TRUE,1.00385345846756,1204.56638857599,1938.73316938403
162,"mu_eta","eta",-0.245,-0.314896858687583,-0.315424465,-0.4036125005,-0.224157631,-0.0698968586875833,0.0698968586875833,TRUE,1.00261329435978,1737.44574790779,2150.15041343572
163,"mu_alpha","alpha",2.33,2.026539787875,2.01925885,1.749960085,2.331797035,-0.303460212125,0.303460212125,TRUE,1.00120686875642,3734.91123282419,6711.21545847259
163,"mu_beta","beta",0.381,0.4284509730615,0.4275453,0.325165236,0.5366446215,0.0474509730615,0.0474509730615,TRUE,1.00111567862835,3377.27799786921,5600.87571282393
163,"mu_lambda","lambda",0.0401,0.0292019223845683,0.028799387,0.007468677305,0.0513358051,-0.0108980776154317,0.0108980776154317,TRUE,1.00358935273139,1507.59523942999,265.915660921309
163,"mu_delta","delta",0.229,0.400167889100917,0.40469195,0.226434985,0.5561340515,0.171167889100917,0.171167889100917,TRUE,1.00057175620744,7091.31946719731,5331.74630126601
163,"mu_eta","eta",-0.162,-0.108662348205875,-0.10827574,-0.1775443145,-0.04178978405,0.053337651794125,0.053337651794125,TRUE,1.00149649959705,3115.77138308307,2056.31265483432
164,"mu_alpha","alpha",3.66,4.1148882714,4.1064667,3.81585975,4.44290374,0.4548882714,0.4548882714,FALSE,1.00058696108632,9840.70494347044,7387.27381040402
164,"mu_beta","beta",0.381,0.384849137095833,0.38364567,0.25424361,0.5178840145,0.00384913709583334,0.00384913709583334,TRUE,1.00013032902343,3732.98098406747,5252.02915364465
164,"mu_lambda","lambda",0.0401,0.043236289559875,0.0432323975,0.02694391675,0.0594366467,0.003136289559875,0.003136289559875,TRUE,1.00042763855376,7659.14227131003,6733.36496251648
164,"mu_delta","delta",0.229,0.255868981252425,0.256195205,0.108096427,0.3994542535,0.026868981252425,0.026868981252425,TRUE,1.00092824025148,6231.37318320192,4937.84553009899
164,"mu_eta","eta",-0.162,-0.155830329176393,-0.155231505,-0.2786074285,-0.0374482626000001,0.00616967082360667,0.00616967082360667,TRUE,1.00093964892323,2515.31703049668,4667.13485301063
165,"mu_alpha","alpha",4.96,4.868275568375,4.85939945,4.493161715,5.2826848,-0.0917244316249999,0.0917244316249999,TRUE,1.00044930542307,8858.27283148712,6850.77246095375
165,"mu_beta","beta",0.381,0.451172634505,0.45036639,0.3478955635,0.5584612965,0.070172634505,0.070172634505,TRUE,1.00068973507942,6209.29686074588,7351.52655444803
165,"mu_lambda","lambda",0.0401,0.0385587899865333,0.0385352805,0.02286626705,0.0543711151,-0.00154121001346667,0.00154121001346667,TRUE,1.00011158394235,7581.95325827828,6412.9475315392
165,"mu_delta","delta",0.229,0.0878680732638113,0.080668831,0.01082656865,0.190678736,-0.141131926736189,0.141131926736189,FALSE,1.00020741383845,9463.16893216253,5076.27946642531
165,"mu_eta","eta",-0.162,-0.200435419795102,-0.20083696,-0.316728162,-0.08302138345,-0.0384354197951018,0.0384354197951018,TRUE,1.00075624265538,2301.05270929609,4151.53348777045
166,"mu_alpha","alpha",2.33,2.46095204718333,2.44766825,1.97980879,2.98727024,0.130952047183333,0.130952047183333,TRUE,1.00029748282536,3676.17056965981,5673.97863945942
166,"mu_beta","beta",0.645,0.614438097285833,0.61275521,0.49444885,0.741538158,-0.0305619027141667,0.0305619027141667,TRUE,1.0006402166548,4209.83607710128,6386.71260963459
166,"mu_lambda","lambda",0.0401,0.0508351420220917,0.05091301,0.0285153932,0.07279969895,0.0107351420220917,0.0107351420220917,TRUE,1.00022288433565,7696.26212262407,5808.08188911381
166,"mu_delta","delta",0.229,0.206058023621738,0.20204782,0.06015834115,0.366984395,-0.0229419763782625,0.0229419763782625,TRUE,0.999994326439989,7930.73487189696,5473.67679860451
166,"mu_eta","eta",-0.162,-0.173738807722591,-0.174472555,-0.2790675165,-0.06500863145,-0.011738807722591,0.011738807722591,TRUE,1.00094678798609,2685.42481204196,4004.29554491228
167,"mu_alpha","alpha",3.66,3.9308016697,3.92341085,3.597936715,4.289701,0.2708016697,0.2708016697,TRUE,0.999949441272064,10730.1815611258,7490.67785832194
167,"mu_beta","beta",0.645,0.682784852654167,0.681056435,0.5586135335,0.812539567,0.0377848526541666,0.0377848526541666,TRUE,1.00027150244531,5988.54194959513,7814.14714671108
167,"mu_lambda","lambda",0.0401,0.0427583763262167,0.042549721,0.0226880086,0.0631809697,0.00265837632621667,0.00265837632621667,TRUE,1.00036204291414,7345.74065594869,6924.34896360044
167,"mu_delta","delta",0.229,0.199588006032706,0.19392476,0.0517159056,0.368223961,-0.0294119939672942,0.0294119939672942,TRUE,1.00021879850738,7046.59384321908,6747.72147651863
167,"mu_eta","eta",-0.162,-0.135966556193353,-0.1358885,-0.241087276,-0.0314960527,0.0260334438066472,0.0260334438066472,TRUE,1.00105547856608,3014.43826966636,5391.48688457493
168,"mu_alpha","alpha",4.96,4.99528852226667,4.9783118,4.569518955,5.477013275,0.0352885222666668,0.0352885222666668,TRUE,1.0003163131233,6769.21602228887,4830.11274658768
168,"mu_beta","beta",0.645,0.694957903270833,0.694285885,0.573691402,0.81949596,0.0499579032708333,0.0499579032708333,TRUE,1.00011054900987,5315.37458181267,6882.76785624012
168,"mu_lambda","lambda",0.0401,0.0316230453458975,0.030821002,0.0122462394,0.05358934205,-0.0084769546541025,0.0084769546541025,TRUE,1.000275718984,4947.13710445775,4933.13254327201
168,"mu_delta","delta",0.229,0.3057820526165,0.308815935,0.178843491,0.420637211,0.0767820526165,0.0767820526165,TRUE,1.00016096299415,7672.7903994041,5477.07299297203
168,"mu_eta","eta",-0.162,-0.217574707105276,-0.218370685,-0.336750307,-0.097015631,-0.0555747071052758,0.0555747071052758,TRUE,1.00253992964246,2180.75310922226,3669.8439275318
169,"mu_alpha","alpha",2.33,2.58892063005,2.57743005,2.139141835,3.090229165,0.25892063005,0.25892063005,TRUE,1.00070144337598,3782.66357214072,5840.61102662614
169,"mu_beta","beta",0.914,1.01753229640083,1.0162676,0.9058355815,1.13559099,0.103532296400833,0.103532296400833,TRUE,1.00040381371045,6910.14245353275,6528.93854932537
169,"mu_lambda","lambda",0.0401,0.0446048771669417,0.0445957275,0.03046214245,0.0587144859,0.00450487716694167,0.00450487716694167,TRUE,1.00028081755173,11095.2499380904,7127.23109984503
169,"mu_delta","delta",0.229,0.32022527213225,0.323239045,0.1575103595,0.468359059,0.09122527213225,0.09122527213225,TRUE,1.0004984324931,6442.58422033699,5362.40998716772
169,"mu_eta","eta",-0.162,-0.125458398011135,-0.12526074,-0.2383267875,-0.01288960525,0.0365416019888647,0.0365416019888647,TRUE,1.00091485428271,2257.30593732603,3553.32204414587
170,"mu_alpha","alpha",3.66,3.40312071501667,3.3948249,2.96508476,3.87959786,-0.256879284983333,0.256879284983333,TRUE,1.00040521145379,4897.80048804163,6971.17323279722
