participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
7,lambda,0.11153288326275,0.110807715,0.02863151028575898,0.056242848575000004,0.16895023175,1.0006491206064587,4283.6820170946585,2613.1825080991593
7,delta,0.94612212765125,0.97832244,0.17053657672075967,0.45485523775000003,1.2243199775,1.0041232815084118,2324.9387444942918,1365.3625081837888
7,eta,-0.1010582680634745,-0.101238785,0.07693302322686098,-0.25101797325,0.051058566225000004,1.0005568490831633,4143.483675255763,2981.1158638223787
8,alpha,5.025957619475,5.0798833000000005,0.6603799102217643,3.6600749875,5.995385580000001,1.001050929883642,2655.87434743023,1921.9695124624857
8,beta,0.15079119043164751,0.147665725,0.1448792023168119,-0.12503458825,0.43521082350000007,1.0000537399862,5626.22374019,2749.7025955720223
8,lambda,0.03520011466112275,0.0323477015,0.021163349679663872,0.00353434107,0.08292936320000001,0.9995596142260554,3711.6048789443907,2626.2068815958733
8,delta,0.99174428416,0.990902535,0.09208946935315519,0.8018008695,1.1721497400000003,1.0008131127662623,3757.9924650436733,2706.8650689838364
8,eta,0.055799909081154675,0.053516983500000004,0.09640979183120553,-0.1256309095,0.24745487825000004,1.0000698259203966,4296.799145854498,3108.892623385122
9,alpha,0.9556431626026564,0.940916235,0.4492282484302851,0.1012931405,1.879787515,0.9997372813526406,2831.125684771358,1442.4794666459932
9,beta,1.4346823096,1.4228796,0.23118688276898608,1.017773905,1.9112204750000004,1.001742383045682,4638.624819205853,3332.1166190413205
9,lambda,0.1315913047895,0.13073212499999998,0.036972549158596955,0.0610602973,0.20228340900000003,1.0010042523759097,4523.649736460978,2470.864614337169
9,delta,0.951915855755,0.9749489499999999,0.13968860444960865,0.5890091700000001,1.1976299325000002,1.000812961330168,2800.1581617768306,2020.6578459728162
9,eta,-0.258657536529335,-0.25971262500000003,0.09129896605031868,-0.440586859,-0.07646903392499996,1.0004565166991075,4042.547210102378,3031.1344714840534
10,alpha,3.40172386085,3.36115125,0.63603675946370275,2.2938205949999997,4.758872697500001,1.0004126951315917,4236.235743539934,3082.8808348310436
10,beta,0.554532842222125,0.552757695,0.16131138191570904,0.248365356,0.874828216,1.0009015364430285,5888.342555093422,2810.0766255783183
10,lambda,0.0929038152421375,0.0914526145,0.03643276659188975,0.02757300325,0.1684287805,1.0016364957128758,3845.774223949548,2629.699641924475
10,delta,1.0193458746875,1.0020864999999999,0.0725001220881646,0.9177705500000001,1.2005287075,1.0008844085912811,3089.237299685561,3124.158418464936
10,eta,0.09046981546316522,0.08819764050000001,0.10886137623353102,-0.118226583,0.30784615775000007,1.000848926227361,2850.21086677335,2699.5865879280086
11,alpha,5.702811252975,5.8239442,0.3473165752059248,4.7565992175,5.99992362,1.0009892943700123,3915.268473674788,2579.9952523465745
11,beta,-0.037682017861552,-0.038261466,0.14516128807069326,-0.32272724575,0.2489401785000002,1.001117946928308,6218.425708666705,3390.1523506741246
11,lambda,0.03917800033508592,0.036773997,0.02170570160852344,0.0050834909775,0.08750874047500001,1.0000983362012923,3963.2772283959966,2450.09783271449
11,delta,0.97322539475,0.9797689549999999,0.15997441068619536,0.6048789824999999,1.3142852225000001,1.0019364401259918,2733.7981248721,1869.8618283254891
11,eta,-0.1816254222968815,-0.18311293,0.10918210926964385,-0.39148177700000003,0.039633576700000166,1.0017164486950323,3935.5588527220866,2588.689023197082
12,alpha,0.8573850628019511,0.834378785,0.4751338779142461,0.023232167375000005,1.840939845,1.0029533784845797,3031.0436910023413,1569.3417635308458
12,beta,1.4776147075025,1.4639258499999999,0.23401350766000645,1.046355145,1.97576952,1.0006383597275228,4278.763111881873,3056.194589790316
12,lambda,0.0518351085883975,0.0503058795,0.024700298185439767,0.0098219487625,0.1050797345,1.0026812479858187,4298.305409372638,2509.9445919314803
12,delta,0.9519192405,0.97459161,0.13223307285348163,0.6147585965,1.2087613950000002,1.0058849376645445,845.8411673351325,292.6816706137933
12,eta,-0.061657636484545,-0.052224229,0.10941948548879807,-0.337601777,0.11887730900000004,1.0054151435322043,974.3073747226234,358.89320656982943
13,alpha,0.5439018898995738,0.5149585299999999,0.36878955691494036,0.004086066060000002,1.3361263950000006,1.0001919775962802,3117.2439226734805,1905.3558366200964
13,beta,1.370413021525,1.36484265,0.21515616392146947,0.9619638799999999,1.8185030375,1.0009436910496459,4056.3901774053015,3108.649958164825
13,lambda,0.093345119721325,0.0925214815,0.03301780104740766,0.031973860125,0.161073343,1.0001544034359626,4115.5723154147245,2565.8405489154275
13,delta,1.0176258845575,1.00743105,0.13809706092193344,0.724558976,1.3086252425,1.0032101885333615,1917.7787259297554,1946.5246998851082
13,eta,-0.152237888506,-0.15716632,0.10658145020258283,-0.3550242245,0.06525018525000013,1.0007801739440245,3479.720167249591,2279.3390410377738
14,alpha,3.688921392,3.6543602,0.5961030135825494,2.6045580925,4.9304440275,1.001223046676746,4294.217575965532,2339.466615084417
14,beta,0.261853725872855,0.261004815,0.14130788049802817,-0.0064360160199999975,0.5425266617500001,1.0023593267445643,5776.387886232843,2967.048298764392
14,lambda,0.0280837372619311,0.02503431,0.017628594433246714,0.0023739778350000003,0.06938827680000001,1.0004767742918772,3557.548403934448,2233.823051284688
14,delta,1.0707200288325,1.0263421,0.1256903126254863,0.9072364505,1.3813816425,1.0019753827794036,893.246039658708,1928.8232927638117
14,eta,0.19078016131446277,0.18615938999999998,0.10908562733571578,-0.011456625299999992,0.41424889625,1.0001523569695507,2172.940318642523,2725.9322967363228
15,alpha,5.59702205465,5.718548950000001,0.40585348531172905,4.54786102,5.999727385,1.0002138637113185,3182.9065002190046,2603.6078000996017
15,beta,-0.50730912992325,-0.5060166349999999,0.11594351179941731,-0.73747833125,-0.2728181284999999,1.000817971818311,5298.717813203773,3351.4484900253274
15,lambda,0.05304811917674,0.051041470500000005,0.024630074283893577,0.010086713775,0.10590273600000001,1.0023372502330037,4305.254683678849,2509.0679452186305
15,delta,0.9581406825075,0.976236385,0.15920046317199346,0.5920857190000001,1.3154147775000002,1.0035113766296797,2230.72818884928,1522.440157998098
15,eta,-0.23496850359610474,-0.231289225,0.11695458039069996,-0.47341682674999996,-0.012021334799999998,1.00055018940688,3411.2159621640735,3074.336633292341
16,alpha,5.6927282404,5.81787045,0.3485381934189473,4.7745456850000005,5.999884787499999,1.0017576417336789,2842.0611773566343,2392.6027462555817
16,beta,-0.1880201501781625,-0.19219099,0.14512675353643215,-0.464211462,0.10684356475000001,1.0002740829290913,5651.003898005162,3129.1530196443546
16,lambda,0.06257445297199,0.060684925,0.027972988887089885,0.014732247175000001,0.1236006265,1.0015961256223507,4194.941282462686,2689.1642159093644
16,delta,0.9959412533025,0.995799235,0.0848198455977262,0.8197723922500001,1.154027245,1.0009272129622933,3478.0345466992935,2158.72531894267
16,eta,0.09880763817296273,0.094854276,0.11822537906712986,-0.126964921,0.34059371200000005,1.0009450486486162,2753.020026353503,2617.9111239587946
17,alpha,4.463807807825,4.4121992,0.736063383792526,3.1345335050000003,5.9287218675,1.0016358759423434,3025.4787790434248,1651.7195981034413
17,beta,0.39818100126858,0.395977065,0.15509207051826923,0.09641908765,0.7110557390000001,0.999578356271438,5827.823557564168,3167.195291896611
17,lambda,0.074815366855545,0.07375762250000001,0.03002986319546504,0.020034253550000002,0.13699140475000002,0.999814006958644,3571.3199636933173,2431.6272064004393
17,delta,0.92772913786575,0.95758443,0.12909760302833356,0.6092599492499999,1.1197377775000001,1.000751554745577,1987.2736351388048,2124.7107351798777
17,eta,-0.131819424605488,-0.13288104,0.0927095436935356,-0.31462282125,0.04907578637500008,0.9999981296590965,3964.6109147897932,3004.8812465780634
18,alpha,0.46776564546246335,0.43296751,0.3379302034816346,0.0018092038650000001,1.2069739649999998,1.0011114764788518,2957.0055340094336,2040.1857802498814
18,beta,0.94681211462,0.9403802349999999,0.16500640662125599,0.6383405452500001,1.2798828549999999,0.9999092901851605,4360.390074088333,3326.168454401496
18,lambda,0.144398379604875,0.14220601,0.05161050334593818,0.04882514255,0.2509083670000001,0.9999728044795582,3890.438129003877,2409.6054978801876
18,delta,1.0448815377725,1.01304945,0.13646196245105044,0.8590297972500001,1.3986118324999999,1.0025367515178352,1418.360224853451,1430.2737791031261
18,eta,-0.120855366830803,-0.12670905999999998,0.13048703815539878,-0.36165019725,0.14979559450000005,1.000544504668812,3102.455191104034,1831.0326523908766
19,alpha,2.9473419786,2.92059335,0.47567347435663637,2.07796575,3.9570664325,0.999418847199844,5856.800185830371,3431.5076953665493
19,beta,0.23792405383629,0.23492771,0.13137225235975106,-0.023248268175,0.50140603525,1.00018882942984,6205.995799514878,2921.902671275195
19,lambda,0.052693805343958684,0.049719792,0.028177659801702965,0.007123178725,0.1149290975,1.0008452864548443,3835.9935024761403,2555.690898229692
19,delta,1.0033343788075,0.98877121,0.11972356477948587,0.8095734732500001,1.3131744950000002,1.001526446259824,3864.686804218097,2051.2793087979335
19,eta,-0.1090769524987864,-0.107865,0.10341228339671163,-0.31615717525,0.08806888612500001,1.0001043971525605,5317.863758181901,3355.4287918993555
20,alpha,4.753744732325,4.751791949999999,0.7006384344113613,3.4118250449999996,5.9749250975,1.0002238388147378,2826.3043434949122,1695.3578747005831
20,beta,0.1030195667450875,0.10082659499999999,0.14320161320556551,-0.17553797475000002,0.38663884000000004,1.0006314289123834,5812.645249972893,3138.030073068119
20,lambda,0.0470440536723145,0.044617318,0.02528909424701967,0.006737205790000002,0.10221405275,1.0010303787042314,4109.396719948844,2923.2720900828936
20,delta,0.9548561381125,0.9730065050000001,0.10132883160092766,0.706435669,1.1130108699999999,1.0028642553785518,2932.1814040827635,2172.4733624296546
20,eta,-0.17440028350684,-0.17324267,0.09147706543709129,-0.36268459475,0.0010777432800000576,1.0003166816423432,4651.282683855539,3153.684930910459
21,alpha,4.7923219818,4.7879325999999995,0.6801379232391186,3.4898393475,5.984886535,1.0005108719829916,2782.6118417805324,1699.3032350313977
21,beta,0.0990870881014425,0.100170765,0.13940687352790612,-0.17101571675,0.37378519350000006,1.0006233468363044,6587.34819625233,3261.391553826878
21,lambda,0.029310841598144545,0.0272470645,0.01717038832224748,0.0034490151700000003,0.067979105325,0.9998980323340585,3939.7809053288547,3364.989628734064
21,delta,0.9840445488925,0.98383034,0.15323055553690573,0.6566025212500001,1.344294845,1.0022257714659415,2779.1317003996487,1436.9299114479486
21,eta,-0.31857423927994,-0.3163945,0.11139140118489003,-0.5404393005,-0.10122960149999993,1.000325537835199,3032.9927357707315,2123.510335851743
22,alpha,0.22156219990790224,0.15328038500000002,0.22846718458089976,1.7346162900000011e-4,0.8170581972500002,1.0001936775579396,3518.902836536784,2463.873155138563
