participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
5,lambda,0.020369006779661376,0.017488803,0.015214529938759217,7.690934962500002e-4,0.05731065727500001,1.0012057871821936,4562.472103048898,2895.704173570391
5,delta,1.106868498715,1.12081835,0.17459561261719164,0.6949990425,1.4481560300000003,1.0037810482622087,3618.723581833104,2608.580655110303
5,eta,-0.119004101194825,-0.13154596,0.15071792766263273,-0.38729526599999997,0.21517416525000008,1.003424738701736,3327.783517369969,2754.334653792611
6,alpha,1.0369639817725,1.0271466500000002,0.3053702092838649,0.45810042325,1.6491399200000003,1.0000969361945204,5534.451062781959,3405.988270548229
6,beta,0.1199485466223075,0.12023892,0.10960813545532583,-0.09563209810000001,0.34289040775000007,1.0000008490745151,6035.012218872564,3278.3961604455862
6,lambda,0.05191875391578313,0.041807563,0.0433678957451421,0.0016995141250000002,0.15849994225000008,1.0001910883271652,5639.277913997374,3002.237230963488
6,delta,1.3196263517775,1.3046351999999999,0.12802832237701228,1.1114827600000001,1.605624015,1.0024804137762726,1910.8847776226128,2106.1496594404975
6,eta,0.2017280585235125,0.1934075,0.2061852170090164,-0.17687363975,0.64839203325,1.002107934501727,2518.0982933083696,1856.857519900176
7,alpha,5.168969485475,5.277863849999999,0.6515555730413821,3.7542998175,5.997676595,1.0010764866674864,3608.803217647614,2684.5559280790635
7,beta,0.61426789942375,0.60735104,0.16911430031157124,0.30086301325,0.9664397155000001,1.0154695197545665,214.840904917687,304.90821648594033
7,lambda,0.01824644317757231,0.015317997,0.013826453704057063,6.050964557500001e-4,0.05168492677500001,1.0010223055137757,4604.372682402641,2248.0760896767815
7,delta,0.974059030565,0.969389835,0.16942106299466442,0.64811748275,1.447219635,1.0929682753289318,28.02704188497247,11.073338206327092
7,eta,0.0781026085499076,0.133077345,0.2540083533956909,-0.81966230175,0.32087821925000004,1.0937340336701897,27.747307526904784,11.092758240167447
8,alpha,5.5798878347,5.7216661,0.4307778476181972,4.467109662500001,5.999673065,1.0016733781609835,4104.225636646494,2909.9976897849506
8,beta,-0.1122604509472855,-0.114532465,0.12217402748159535,-0.34951928425,0.13145235975,1.0018166805737176,5503.85156722974,2853.267478883132
8,lambda,0.05001370970763254,0.047913912,0.02559354141081586,0.0066808199175,0.10554936775000001,1.000149620259411,4778.729525042415,2705.3494133178087
8,delta,1.2183289754475,1.15467795,0.22531129314838552,0.88411607125,1.788867075,1.0058400393255824,1371.397920891252,1671.8980304880602
8,eta,0.030528377786377653,0.0099168387,0.24631802351633705,-0.40521291724999997,0.5547029067500003,1.0023804798865736,4170.250943543607,2828.2800696905956
9,alpha,3.0781691764475,3.04094,0.6890680458013049,1.8349563299999998,4.551760400000001,1.0030325720046784,5537.795642894879,2954.033855978852
9,beta,0.8281085120725,0.81811121,0.1726710685497282,0.50748708525,1.1809295450000001,0.999637406197334,5287.464989920326,3247.2696253004506
9,lambda,0.0722166827470685,0.071048763,0.03265183494988197,0.011425546075000001,0.13823514450000002,1.0004575906724618,3935.9793843852954,2134.859690780482
9,delta,1.270998927155,1.2455623,0.18188496880846916,0.9952576385,1.6913898275,1.0037801488980302,2008.3655861204688,2376.233167597583
9,eta,0.1847281771992125,0.17103897,0.12176641760938865,-0.0152632447,0.45243455575,1.0021898759919254,2704.145238440698,3342.6993369808024
10,alpha,5.565338323175,5.70628645,0.4447976256495444,4.4213453875,5.999776267500001,1.001596555633598,4318.7143924555885,3187.929753877637
10,beta,-0.27813680619867026,-0.28297632500000003,0.14224463412632435,-0.54356878675,0.017824315675000098,1.0006396255559051,5673.935824077166,3576.275435173564
