"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
196,"mu_delta","delta",1.45,1.35250558005917,1.34627455,1.20787156,1.52643674,-0.0974944199408332,0.0974944199408332,TRUE,1.12015483851963,21.6474674858699,40.5217791962185
196,"mu_eta","eta",0.278,0.305293833418839,0.3223104,0.05670644925,0.4952227925,0.0272938334188388,0.0272938334188388,TRUE,1.19636714907912,13.9895677259119,36.1049233608519
197,"mu_alpha","alpha",4.12,4.00641698431667,3.99732345,3.631632335,4.41142195,-0.113583015683333,0.113583015683333,TRUE,1.01432981471691,1079.54399026057,6228.63459381079
197,"mu_beta","beta",0.608,0.498553709948333,0.49747341,0.413480869,0.5882075975,-0.109446290051667,0.109446290051667,FALSE,1.0007720521537,4969.50717642976,6789.93229395476
197,"mu_lambda","lambda",0.0191,0.0189027048497465,0.0181977695,0.00523275088,0.0352461737,-0.000197295150253497,0.000197295150253497,TRUE,1.00030531700661,6418.54627401994,5953.53775368015
197,"mu_delta","delta",1.45,1.55647279756167,1.55249555,1.33944008,1.78897899,0.106472797561667,0.106472797561667,TRUE,1.10048523722005,25.6337850624357,289.396012265459
197,"mu_eta","eta",0.278,0.0241963472774816,0.0282292855,-0.1507415585,0.1885393605,-0.253803652722518,0.253803652722518,FALSE,1.06491883940517,47.1721079598121,495.182893275411
198,"mu_alpha","alpha",5.25,5.3728767597,5.3701709,5.00064324,5.75506448,0.1228767597,0.1228767597,TRUE,1.03837331177023,67.4033644946218,2136.35692849912
198,"mu_beta","beta",0.608,0.605973971388333,0.60431616,0.4846939725,0.731157579,-0.00202602861166667,0.00202602861166667,TRUE,1.00028660665846,5605.42152315966,7350.48600041721
198,"mu_lambda","lambda",0.0191,0.0258242311960333,0.0258564835,0.012513822,0.03882638465,0.00672423119603334,0.00672423119603334,TRUE,1.00016627401519,7137.56431955457,5692.06779359106
198,"mu_delta","delta",1.45,1.38694336684167,1.3756363,1.277635825,1.532471185,-0.0630566331583333,0.0630566331583333,TRUE,1.06422003871116,40.4383399227163,106.177279912
198,"mu_eta","eta",0.278,0.245571455197378,0.249697365,0.07525568375,0.4052750485,-0.0324285448026217,0.0324285448026217,TRUE,1.05570113090401,51.0516202104847,251.063657665034
199,"mu_alpha","alpha",2.95,2.85701659693333,2.8537412,2.52907535,3.200456385,-0.092983403066667,0.092983403066667,TRUE,1.01152551524657,2874.09571572781,6494.06289913812
199,"mu_beta","beta",0.204,0.150782278919528,0.150152585,0.06076592615,0.243872325,-0.0532177210804717,0.0532177210804717,TRUE,1.00280539853492,4413.10372302146,7175.81945302038
199,"mu_lambda","lambda",0.0431,0.0481275333920333,0.048290188,0.02602526365,0.07007488495,0.00502753339203334,0.00502753339203334,TRUE,1.00067165005173,7937.00032923059,6228.52380522676
199,"mu_delta","delta",1.45,1.46191785925833,1.45924265,1.32317901,1.611855855,0.0119178592583333,0.0119178592583333,TRUE,1.0298328812468,109.871003266652,193.60280368391
199,"mu_eta","eta",0.278,0.186305450353187,0.19088377,0.023010481,0.330120244,-0.0916945496468128,0.0916945496468128,TRUE,1.04609376343953,67.3262904916534,47.2917905986731
200,"mu_alpha","alpha",4.12,3.95169248896667,3.9458339,3.59557067,4.334886275,-0.168307511033333,0.168307511033333,TRUE,1.00058153245522,8137.32244014413,8039.04212739776
200,"mu_beta","beta",0.204,0.123792336866153,0.122731325,0.02404029625,0.2252532355,-0.0802076631338467,0.0802076631338467,TRUE,1.00074742063552,5025.55771047775,6999.83595916686
200,"mu_lambda","lambda",0.0431,0.0371777007423333,0.0372216195,0.0194382669,0.05452715855,-0.00592229925766666,0.00592229925766666,TRUE,1.00076900264985,8723.87014114055,5896.46663703499
200,"mu_delta","delta",1.45,1.44203402895,1.41882985,1.29573715,1.667153665,-0.00796597104999996,0.00796597104999996,TRUE,1.29481387795069,10.2015090197323,30.1795948260383
200,"mu_eta","eta",0.278,0.237037176045264,0.259055375,-0.04967010045,0.4418073395,-0.0409628239547361,0.0409628239547361,TRUE,1.290318834272,10.4289450032837,28.4656016831804
201,"mu_alpha","alpha",5.25,5.4450407428,5.44541025,5.064317445,5.822749685,0.1950407428,0.1950407428,TRUE,1.00037401637011,10447.4239178897,7881.15329142185
201,"mu_beta","beta",0.204,0.160013922272436,0.160022025,0.07172199725,0.2483039065,-0.0439860777275637,0.0439860777275637,TRUE,1.00009174466248,7631.82695127372,8010.76571199152
201,"mu_lambda","lambda",0.0431,0.0376888183756167,0.0377379685,0.02069486985,0.05469321585,-0.00541118162438333,0.00541118162438333,TRUE,1.00024684027886,8889.62876639801,7874.872198993
201,"mu_delta","delta",1.45,1.4049966857,1.4010704,1.300564795,1.522242825,-0.0450033142999999,0.0450033142999999,TRUE,1.00126843055518,3507.06200816551,5759.42849031876
