"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
117,"params[9,3]",9,"lambda",0.0170916964366892,0.0247054048625304,0.022177223,0.0046184799,0.0542674699,0.0076137084258412,0.0076137084258412,TRUE,0.999896127731588,12756.144591154,7801.46913598455
117,"params[10,3]",10,"lambda",0.0160126254783364,0.0174177519134716,0.0168440255,0.002129655965,0.03492240265,0.00140512643513524,0.00140512643513524,TRUE,0.99992280755761,10207.8986913518,7084.49051426778
117,"params[11,3]",11,"lambda",0.00809208448612489,0.0182961807237005,0.0175198165,0.002363728705,0.0369668922,0.0102040962375756,0.0102040962375756,TRUE,1.00048163606694,10043.9505550866,7450.13945562083
117,"params[12,3]",12,"lambda",0.00584366409176838,0.026646203768922,0.0232524385,0.005207333775,0.06159921355,0.0208025396771536,0.0208025396771536,TRUE,1.00005721518639,11050.2870254357,7591.39089570969
117,"params[13,3]",13,"lambda",0.00519028740404463,0.0175717441338068,0.017071271,0.00199684135,0.03494106325,0.0123814567297622,0.0123814567297622,TRUE,1.00013062517271,11304.0454779265,8541.52228411877
117,"params[14,3]",14,"lambda",0.00954988447185394,0.0265003031082588,0.0232340545,0.005383314325,0.0594106503,0.0169504186364049,0.0169504186364049,TRUE,1.00019807010944,11437.5997211777,7122.45163346284
117,"params[15,3]",15,"lambda",0.00670697102458241,0.020082602205808,0.019178431,0.002798928255,0.0407026659499999,0.0133756311812256,0.0133756311812256,TRUE,1.00001805163277,12911.5068212979,7121.45025815432
117,"params[16,3]",16,"lambda",0.036497440290506,0.0208332268770991,0.0197203325,0.00323186693,0.04247346455,-0.0156642134134069,0.0156642134134069,TRUE,1.0000745520084,12754.6591160563,7443.3659275888
117,"params[17,3]",17,"lambda",0.0133561229706654,0.0190238913338777,0.0183188745,0.00267679488,0.0380441977,0.00566776836321231,0.00566776836321231,TRUE,1.00063809240302,11054.2835745527,6673.10445686461
117,"params[18,3]",18,"lambda",0.0373146695924384,0.0175894609512456,0.0169033825,0.00220422361,0.03527249645,-0.0197252086411928,0.0197252086411928,FALSE,1.00009864284814,10749.8064119042,7790.2732906853
117,"params[19,3]",19,"lambda",0.00832006312500479,0.0172900399578749,0.016805489,0.00210443972,0.0346189828,0.00896997683287012,0.00896997683287012,TRUE,1.00002326135106,9736.51859031808,7943.98908942165
117,"params[20,3]",20,"lambda",0.00394534658219698,0.0208200944470501,0.0196378495,0.00311800767,0.04279674375,0.0168747478648532,0.0168747478648532,TRUE,0.999967357876568,13039.0261309143,7043.48671790424
117,"params[21,3]",21,"lambda",0.0732668748393829,0.0341919808277069,0.0270374275,0.00813793729,0.0852727491,-0.039074894011676,0.039074894011676,TRUE,1.00068869690082,7697.82071990938,8199.33546753256
117,"params[22,3]",22,"lambda",0.00639378214041216,0.0159998416689198,0.0154155705,0.001725310485,0.03247796815,0.0096060595285076,0.0096060595285076,TRUE,1.00022673192311,8827.09148500592,7282.25359034694
117,"params[23,3]",23,"lambda",0.0195506393780313,0.0190121960456888,0.0181342305,0.002376159905,0.0388979431,-0.000538443332342584,0.000538443332342584,TRUE,0.999941948565855,11226.2295755199,7736.19068588139
117,"params[1,4]",1,"delta",0.756256712114021,0.988238692436913,0.958166205,0.527876455,1.528476955,0.231981980322892,0.231981980322892,TRUE,0.999986614300716,7167.83172960674,5588.46601443633
117,"params[2,4]",2,"delta",1.09276278030068,1.06388253472597,1.0389392,0.5690756905,1.63417356,-0.028880245574713,0.028880245574713,TRUE,1.00050398075421,4998.674972223,5262.53495454753
117,"params[3,4]",3,"delta",1.12655898949462,1.14004583583333,1.05930055,0.887557124,1.73485328,0.0134868463387103,0.0134868463387103,TRUE,1.00126705450034,3757.02683933421,4052.86032492232
117,"params[4,4]",4,"delta",0.582839213510913,0.558366274848822,0.570939265,0.376672674,0.7021441565,-0.0244729386620903,0.0244729386620903,TRUE,1.00021913682371,12862.5472758165,10197.7642890154
117,"params[5,4]",5,"delta",1.20598909036143,1.00349485899603,1.0017203,0.597594736,1.41647486,-0.202494231365405,0.202494231365405,TRUE,1.00039341173704,7569.78083443647,6707.72328969623
117,"params[6,4]",6,"delta",1.29252870612579,0.899720566508925,0.88650291,0.463489513,1.42770492,-0.392808139616861,0.392808139616861,TRUE,1.0009862225986,7319.26662230909,6535.25170212988
117,"params[7,4]",7,"delta",1.3763739805642,1.101448855377,1.05547955,0.811622801,1.558241185,-0.2749251251872,0.2749251251872,TRUE,1.00001091970112,6832.74557811022,5805.66384845344
117,"params[8,4]",8,"delta",0.826417219104825,0.85576805114015,0.859972805,0.352311069,1.37780913,0.0293508320353252,0.0293508320353252,TRUE,1.00034719641602,12957.0261868157,8246.82238914994
117,"params[9,4]",9,"delta",1.43897023138568,0.939262663062822,0.89243524,0.4300308745,1.53354336,-0.49970756832286,0.49970756832286,TRUE,1.00096257927549,5627.41707274927,5904.41534169969
117,"params[10,4]",10,"delta",0.576052377371393,0.524146936779167,0.527634935,0.387770288,0.6517407555,-0.0519054405922267,0.0519054405922267,TRUE,1.00056310401099,11774.5041150139,10881.3003462882
117,"params[11,4]",11,"delta",0.518966595239526,0.795377384596725,0.75372119,0.435340295,1.41275062,0.276410789357199,0.276410789357199,TRUE,1.00308558225994,3350.23462992808,2644.58092849421
117,"params[12,4]",12,"delta",1.34496050365974,0.950614608544483,0.919537285,0.5180150595,1.57393557,-0.394345895115258,0.394345895115258,TRUE,1.00039795666188,7889.53545314432,5184.38402510505
117,"params[13,4]",13,"delta",1.41932370848394,1.02198297757194,1.05116165,0.4458164635,1.680595515,-0.397340730912003,0.397340730912003,TRUE,1.00033099922016,2388.68542182563,2608.78328800984
117,"params[14,4]",14,"delta",1.06401047438137,0.915237335491167,0.908425195,0.599344128,1.24119592,-0.148773138890204,0.148773138890204,TRUE,1.00019208317065,8885.69774277144,6680.10599651895
117,"params[15,4]",15,"delta",0.619270782293359,0.8025476562,0.816017305,0.6256774555,0.930151711,0.183276873906641,0.183276873906641,FALSE,0.999998542066655,14472.1113142941,8442.12260601815
117,"params[16,4]",16,"delta",1.13568635553229,0.982048316865633,0.943230505,0.462937963,1.608724525,-0.153638038666655,0.153638038666655,TRUE,1.00010379127091,7274.33543809002,5128.73027700532
117,"params[17,4]",17,"delta",1.28105118055116,0.936907442892437,0.88090179,0.4447804005,1.497496165,-0.344143737658722,0.344143737658722,TRUE,1.00034030305841,5049.72815150228,5987.83579023763
117,"params[18,4]",18,"delta",1.34453233761914,1.114186988136,1.05336545,0.835433043,1.60739128,-0.230345349483136,0.230345349483136,TRUE,1.00015186970109,5761.78049556773,5988.06867255691
117,"params[19,4]",19,"delta",0.974024983880883,0.94548656396362,0.87481658,0.472218843,1.56099401,-0.0285384199172626,0.0285384199172626,TRUE,1.00031423169426,5846.89042774451,6558.76392306257
117,"params[20,4]",20,"delta",0.496485533094422,0.996474620500233,0.97452665,0.374678693,1.62501486,0.499989087405811,0.499989087405811,TRUE,1.00001158699033,4789.09999775432,6029.08167074132
117,"params[21,4]",21,"delta",0.988495806704499,1.12359794840669,1.09468385,0.687171982,1.67860345,0.135102141702192,0.135102141702192,TRUE,1.00055394930721,4545.89023569164,4888.24809865682
117,"params[22,4]",22,"delta",0.777158023232214,0.676756291142392,0.65791168,0.228460518,1.213630665,-0.100401732089822,0.100401732089822,TRUE,0.999958339019753,6796.75495429124,6383.43590463634
117,"params[23,4]",23,"delta",0.995011089729133,0.948290962594,0.9581089,0.796343933,1.06935845,-0.0467201271351333,0.0467201271351333,TRUE,1.00031594832421,11305.2250170891,7063.49578812503
117,"params[1,5]",1,"eta",-0.308586787483431,-0.298248543027892,-0.295802195,-0.436475371,-0.168781431,0.0103382444555393,0.0103382444555393,TRUE,1.00003006952986,15840.5249705222,9425.04032339863
117,"params[2,5]",2,"eta",-0.15116843081612,-0.177680557921475,-0.180448505,-0.361142368,0.0212067134999998,-0.0265121271053551,0.0265121271053551,TRUE,1.00042655920776,10622.5959400437,6025.20436482486
117,"params[3,5]",3,"eta",-0.0952017228914146,0.0160723326720852,0.0092967401,-0.180511651,0.2392658465,0.1112740555635,0.1112740555635,TRUE,1.0000645653699,9616.41186219034,6666.53892194072
117,"params[4,5]",4,"eta",-0.704734462871642,-0.677251007739167,-0.67348427,-0.825458166,-0.538812808,0.0274834551324757,0.0274834551324757,TRUE,1.0001265683006,17948.63777242,10557.862616187
