"k","n_divergent","n_max_td","max_rhat","min_ess"
65,0,0,1.06428615989313,54.0964436245958
66,0,0,1.00197516471114,3872.648964799
67,0,0,1.00553297474476,1305.64916169939
68,0,0,1.00279811868412,1723.08709214571
69,0,0,1.5303460911327,7.08958263799497
70,0,0,1.00180715196493,3199.01043200062
71,0,0,1.52839501689614,7.10270900287266
72,0,0,1.01185173244826,353.108230305896
73,0,0,1.00099089122302,4607.17679401194
74,0,0,1.00131007040837,2602.44577260123
75,0,0,1.00374305267385,1007.09531391788
76,0,0,1.00590605924933,1392.85757365397
77,0,0,1.00141963090994,3009.95075251323
78,0,0,1.00157421745893,2963.4575090153
79,0,0,1.00155226993198,2972.19419108505
80,2,0,1.00275159170594,940.675768715586
81,0,0,1.52789290300717,7.09217527578999
82,0,0,1.00118236357228,4291.80637394094
83,0,0,1.00676688743572,668.1362184952
84,0,0,1.00157812258127,3387.94504718111
85,0,0,1.00162078164948,4105.04763236116
86,0,0,1.02468588481886,183.517274635957
87,0,0,1.00207991336661,1531.48477170706
88,0,0,1.00228647990492,3008.65440619746
89,0,0,1.00373219116319,2148.13474744584
90,0,0,1.00417801523224,1169.31720566447
91,0,0,1.00873307864065,588.069147672553
92,0,0,1.00372028838538,1107.36731231783
93,0,0,1.00237683702522,3286.80169941587
94,0,0,1.00202782668363,2906.30486220843
95,0,0,1.00180268658014,2791.83580081684
96,0,0,1.00258646001877,1904.35226620513
97,0,0,1.01794103003597,201.276737517974
98,0,0,1.00218678905851,4023.25411372772
99,0,0,1.00581417935654,1040.91690202169
100,0,0,1.00229762495216,1119.08148333558
101,0,0,1.00184606203187,2034.58777975723
102,0,0,1.00152070592761,3078.92237626752
103,0,0,1.00525746706912,1008.91323829691
104,0,0,1.00418974857968,762.885455070807
105,0,0,1.0033446593269,1574.60587001092
106,0,0,1.00137328574602,3376.55676234329
107,0,0,1.00431039453986,1563.61535318736
108,0,0,1.00358471786518,1415.66375810987
109,0,0,1.00146358509348,2745.63288362196
110,0,0,1.00136464033372,4033.20815067536
111,0,0,1.30133784678295,10.204646673036
112,0,0,1.0010614547336,3354.6368388056
113,0,0,1.00192414642344,2276.57450948031
114,0,0,1.01951661669356,151.704344879185
115,1,0,1.07693053867986,40.1620705310156
116,0,0,1.14694231228772,17.4784671372443
117,0,0,1.00308558225994,2304.2598258366
118,0,0,1.00181027529047,4433.03667865686
119,0,0,1.0018922501386,1702.97028486644
120,0,0,1.00117519356763,3786.22822365859
121,0,0,1.00197373590291,2699.47741986774
122,0,0,1.02938212509301,125.588224609426
123,0,0,1.00169659037588,3698.56478479633
124,0,0,1.00418425909918,1945.34190697301
125,0,0,1.16259029078513,16.8520946408617
126,0,0,1.00159905990021,2405.59685037518
127,0,0,1.00257452744994,1875.19698436841
128,0,0,1.00252605414422,2480.08537065179
129,0,0,1.01225367954269,378.214344951457
130,0,0,1.00176749897544,3084.09611400024
131,0,0,1.00192560323807,901.538311881922
132,0,0,1.00146634679942,4493.70877773424
133,0,0,1.00169596315334,2608.60326658773
134,0,0,1.00687383124747,1001.55785907278
135,0,0,1.0029883842294,1975.82818260185
136,0,0,1.01457049489279,341.13367013193
137,0,0,1.00774808653216,308.789930225573
138,0,0,1.00514375470107,1057.68703272295
139,0,0,1.01476717122777,345.604992350528
140,0,0,1.00187979889007,1275.59288562878
141,1,0,1.03683701128353,92.4526103803937
142,0,0,1.19666961160375,14.5186831172854
143,0,0,1.0020875983834,3058.21161355498
144,0,0,1.0013167886376,2717.41030439153
145,0,0,1.00094117618505,4398.0965034018
146,0,0,1.00866052166976,687.803279442245
147,0,0,1.00111552115065,2534.98046187561
148,0,0,1.09696047562141,27.0444704422047
149,0,0,1.73337128269509,6.07598841338133
150,0,0,1.02090694067399,140.01695315669
151,0,0,1.00436133579833,1179.8585663934
152,0,0,1.00426350339039,1529.24579041912
153,0,0,1.00196615838425,2328.87914506222
154,0,0,1.35198623191742,9.01781884414699
155,0,0,1.00204307997729,3815.86492857388
156,0,0,1.132057909689,20.6057439324601
157,0,0,1.00168448376034,1089.00180822852
158,0,0,1.00225875137095,1590.6665101823
159,0,0,1.00238889591729,2538.57940797707
160,0,0,1.53254568601815,7.08547874512721
161,0,0,1.00180429077241,4166.22756458678
162,0,0,1.00318282241354,762.034672236146
163,0,0,1.00117019769151,3987.38283188937
164,0,0,1.00212999867108,2793.08358574709
165,0,0,1.00128603269275,2713.51671083549
166,0,0,1.00191933638484,1816.28198493225
167,0,0,1.0051933746636,1369.95976924589
168,0,0,1.5295600774321,7.08620144397956
169,1,0,1.00267475085231,1880.20341636434
170,0,0,1.00718064024772,512.505594348527
171,0,0,1.12820920768979,20.4381994653478
172,0,0,1.00314725090268,2115.10640652971
173,0,0,1.00171085722099,3183.84069049264
174,0,0,1.00123909184641,3469.17547761753
175,0,0,1.0012726293533,3638.24909945659
176,0,0,1.00240898320346,3158.0185210431
177,0,0,1.00218842356924,2326.74448622567
178,0,0,1.00201529003659,4621.5545129729
