"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,21660.6000000089,"blue",1,6,0,"js-scroll-button-response",87,0,1,29,55,65,50,65,65,50,"redblueredredbluered","0  1  0  0  1  0",1,3,1,1,0,3,"red","blue","red","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,14424.599999994,"red",1,6,1,"js-scroll-button-response",90,1,1,30,55,65,65,55,55,50,"blueredredblueredred","1  0  0  1  0  0",1,3,1,1,0,3,"blue","red","red","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,17103.200000003,"blue",0,6,0,"js-scroll-button-response",93,1,1,31,55,55,50,65,65,50,"blueblueredredblueblue","1  1  0  0  1  1",1,3,1,1,0,3,"blue","blue","red","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8487.40000000596,"blue",1,6,0,"js-scroll-button-response",96,0,1,32,50,65,55,65,50,55,"redredblueredbluered","0  0  1  0  1  0",1,3,1,1,0,3,"red","red","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,16656.700000003,"red",0,6,1,"js-scroll-button-response",99,0,1,33,55,55,55,50,65,55,"blueblueredredbluered","1  1  0  0  1  0",1,3,1,1,0,3,"blue","blue","red","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,15420.599999994,"red",1,6,1,"js-scroll-button-response",102,1,1,34,50,65,50,65,50,55,"redredblueredbluered","0  0  1  0  1  0",1,3,1,1,0,3,"red","red","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8007.59999999404,"blue",1,6,0,"js-scroll-button-response",105,0,1,35,55,50,65,65,50,50,"redredredredredred","0  0  0  0  0  0",1,3,1,1,0,3,"red","red","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9060,"red",1,6,1,"js-scroll-button-response",108,1,1,36,50,65,50,55,65,50,"blueredredredredred","1  0  0  0  0  0",1,3,1,1,0,3,"blue","red","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9768.70000000298,"red",0,6,1,"js-scroll-button-response",111,0,1,37,50,65,55,50,55,65,"blueblueredbluebluered","1  1  0  1  1  0",1,3,1,1,0,3,"blue","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,21482.700000003,"blue",0,6,0,"js-scroll-button-response",114,1,1,38,50,65,55,50,55,55,"redredredredbluered","0  0  0  0  1  0",1,3,1,1,0,3,"red","red","red","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9618.19999998808,"blue",0,6,0,"js-scroll-button-response",117,1,1,39,50,55,55,50,65,50,"redblueblueblueblueblue","0  1  1  1  1  1",1,3,1,1,0,3,"red","blue","blue","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13715.8999999911,"blue",1,6,0,"js-scroll-button-response",120,0,1,40,50,50,55,65,55,55,"redredblueredredblue","0  0  1  0  0  1",1,3,1,1,0,3,"red","red","blue","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8273.70000000298,"red",0,6,1,"js-scroll-button-response",124,0,2,41,65,65,50,50,65,50,"blueredblueredblueblue","1  0  1  0  1  1",1,3,1,1,0,3,"blue","red","blue","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6049.80000001192,"blue",1,6,0,"js-scroll-button-response",127,0,2,42,65,55,50,55,50,50,"blueredredredbluered","1  0  0  0  1  0",1,3,1,1,0,3,"blue","red","red","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,15843.799999997,"blue",0,6,0,"js-scroll-button-response",130,1,2,43,55,55,55,65,65,50,"blueredbluebluebluered","1  0  1  1  1  0",1,3,1,1,0,3,"blue","red","blue","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11651.700000003,"red",1,6,1,"js-scroll-button-response",133,1,2,44,55,65,55,50,65,50,"blueredredredredred","1  0  0  0  0  0",1,3,1,1,0,3,"blue","red","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8072.40000000596,"blue",0,6,0,"js-scroll-button-response",136,1,2,45,55,65,65,65,65,65,"redredblueblueredblue","0  0  1  1  0  1",1,3,1,1,0,3,"red","red","blue","blue","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7039.29999999702,"red",1,6,1,"js-scroll-button-response",139,1,2,46,65,50,65,65,55,50,"redredredredredred","0  0  0  0  0  0",1,3,1,1,0,3,"red","red","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13596,"blue",1,6,0,"js-scroll-button-response",142,0,2,47,65,55,50,55,65,55,"blueblueredredredblue","1  1  0  0  0  1",1,3,1,1,0,3,"blue","blue","red","red","red","blue"
